Frame Index,Time (s),Position (ticks),Velocity (t/s),Current (mA),PWM
141,3.377904296875,2065,1002,-1,118
142,3.3993125,2086,999,-1,119
143,3.420196044921875,2106,1001,-1,119
144,3.43108642578125,2126,996,-1,119
145,3.4731611328125,2166,1006,-1,117
146,3.494564697265625,2186,1002,-1,118
147,3.515966064453125,2206,1000,-1,119
148,3.537005615234375,2226,992,-1,119
149,3.55784375,2246,997,-1,119
150,3.589969482421875,2286,1001,-1,118
151,3.621278076171875,2306,1000,-1,118
152,3.6321865234375,2326,999,-1,119
153,3.674269287109375,2366,996,-1,118
154,3.695717529296875,2386,999,-1,116
155,3.71665478515625,2407,999,-1,119
156,3.7376435546875,2427,998,-1,118
157,3.779732421875,2467,1000,-1,119
158,3.8011337890625,2488,996,-1,118
159,3.821928466796875,2507,998,-1,117
160,3.832841552734375,2528,996,-1,118
161,3.853664794921875,2547,999,-1,119
162,3.895801513671875,2588,992,-1,119
163,3.9174287109375,2608,994,-1,119
164,3.93841552734375,2627,1001,-1,117
165,3.95934814453125,2648,1002,-1,119
166,3.980198486328125,2668,999,-1,120
167,4.0224443359375,2707,998,-1,119
168,4.033345703125,2728,995,-1,119
169,4.0546171875,2748,998,-1,119
170,4.09678759765625,2788,1002,-1,120
171,4.117744140625,2808,1000,-1,118
172,4.138664306640625,2828,997,-1,119
173,4.15947412109375,2848,999,-1,118
174,4.191605712890625,2887,1004,-1,118
175,4.222942626953125,2908,998,-1,118
176,4.23383642578125,2929,1005,-1,119
177,4.2758603515625,2968,999,-1,118
178,4.297297119140625,2989,997,-1,118
179,4.318751953125,3008,1003,-1,118
180,4.339736572265625,3029,997,-1,118
181,4.381834228515625,3069,999,-1,119
182,4.4032255859375,3089,1001,-1,118
183,4.424154296875,3110,996,-1,119
184,4.445133544921875,3130,1002,-1,118
185,4.455875,3150,996,-1,119
186,4.497994873046875,3190,997,-1,119
187,4.5192001953125,3210,1003,-1,118
188,4.540153564453125,3230,1001,-1,118
189,4.582223876953125,3270,1010,-1,116
190,4.603621826171875,3290,998,-1,118
191,4.624574951171875,3309,998,-1,118
192,4.645553955078125,3330,994,-1,119
193,4.67753466796875,3370,998,-1,118
194,4.698889404296875,3389,1001,-1,118
195,4.720332763671875,3410,1000,-1,118
196,4.741305419921875,3430,996,-1,119
197,4.783381103515625,3471,998,-1,119
198,4.804628662109375,3492,1000,-1,118
199,4.857150146484375,3552,1001,-1,118
200,4.8783203125,3571,995,-1,119
